% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2020
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2020 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2020, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
199506	 -0.02606348	 -0.03667189	  0.00528835	
199507	 -0.00695636	  0.01044431	  0.04696596	
199508	 -0.00306990	  0.01869845	 -0.00968895	
199509	 -0.02972287	 -0.02618107	 -0.08151823	
199510	 -0.00932857	  0.00481423	  0.03408096	
199511	  0.03077631	  0.05752631	 -0.02020720	
199512	 -0.06585245	 -0.03015199	 -0.03618182	
199601	 -0.01609792	 -0.00929127	  0.06793919	
199602	  0.02427882	  0.07464481	  0.03771266	
199603	 -0.05203747	 -0.04520918	 -0.04008977	
199604	 -0.02549752	  0.01727362	 -0.04751534	
199605	  0.01176848	  0.02330116	 -0.02249430	
199606	 -0.00949358	 -0.00981165	 -0.05448895	
199607	 -0.03734964	 -0.01465018	  0.00622302	
199608	  0.06342575	  0.09111742	  0.00576638	
199609	 -0.00120862	 -0.01720454	 -0.01991500	
199610	 -0.01303466	 -0.03675045	 -0.00909880	
199611	 -0.00750108	 -0.01253603	  0.07055991	
199612	  0.01325284	  0.02455170	 -0.03576462	
199701	 -0.01692044	  0.05093875	 -0.03239208	
199702	  0.00258397	 -0.01533889	 -0.03783441	
199703	 -0.00760823	  0.01607243	  0.02202830	
199704	  0.01677277	  0.01764550	  0.06034771	
199705	  0.02753110	  0.04282742	  0.01286950	
199706	 -0.01008249	 -0.00680778	  0.01036155	
199707	 -0.00804429	  0.00110211	  0.02945152	
199708	 -0.05686308	 -0.01135401	 -0.00579011	
199709	 -0.02822717	  0.03277542	 -0.01326268	
199710	 -0.17146077	 -0.11072915	 -0.00391782	
199711	  0.02223897	  0.07046263	  0.05349935	
199712	 -0.02201878	  0.03071588	  0.00213297	
199801	 -0.04376296	 -0.07178451	  0.00715538	
199802	 -0.12042356	 -0.00113809	  0.05686569	
199803	 -0.05873038	 -0.00827772	 -0.02666041	
199804	  0.04018895	  0.09409472	 -0.00525295	
199805	  0.00684522	  0.01280926	 -0.00819054	
199806	 -0.04472599	 -0.03090383	  0.01526897	
199807	 -0.05158022	  0.00419293	  0.00594536	
199808	 -0.05091895	  0.01135963	 -0.03609302	
199809	 -0.27513113	 -0.25781422	  0.02689999	
